id	name.zh-CN	name.en
10993	广西职业师范学院	GuangXi Vocational Normal University
13849	广州城市理工学院	Guangzhou City University of Technology
2772	广州大学	Guangzhou University
26617	广州工商学院	Guangzhou College of Technology and Business
26304	广州航海学院	Guangzhou Maritime University
23457	广州华立学院	Guangzhou Huali College
25795	广州华商学院	Guangzhou Huashang College
26302	广州理工学院	Guangzhou Institute of Science and Technology
26604	广州软件学院	Guangzhou University of Software
26262	广州商学院	Guangzhou College of Commerce
10078	广州中医药大学	Guangzhou University of Chinese Medicine
26366	贵阳人文科技学院	Guiyang Institute of Humanities and Technology
10282	贵阳学院	Guiyang University
25897	贵州财经大学	GuiZhou University of Finance and Economics
4593	贵州大学	Guizhou University
8683	贵州工程应用技术学院	Guizhou University of Engineering Science
10094	贵州民族大学	Guizhou Minzu University
10089	贵州商学院	Guizhou University of Commerce
8677	贵州师范大学	Guizhou Normal University
7758	贵州师范学院	Guizhou Education University
10320	贵州职业技术学院	Guizhou Vocational Technology Institute
4382	桂林电子科技大学	Guilin University of Electronic Technology
25843	桂林航天工业学院	Guilin University of Aerospace Technology
8321	桂林理工大学	Guilin University of Technology
25872	桂林理工大学南宁分校	Guilin University of Technology at Nanning
25876	桂林旅游学院	Guilin Tourism University
19860	桂林信息科技学院	Guilin Institute of Information Technology
1315	国防科技大学	National University of Defense Technology
5598	国际关系学院	University of International Relations
2794	哈尔滨工程大学	Harbin Engineering University
639	哈尔滨工业大学	Harbin Institute of Technology
7254	哈尔滨广厦学院	Harbin GuangSha College
2797	哈尔滨华德学院	Harbin Huade University
14574	哈尔滨剑桥学院	Harbin Cambridge University
2798	哈尔滨理工大学	Harbin University of Science and Technology
2823	哈尔滨商业大学	Harbin University of Commerce
2824	哈尔滨师范大学	Harbin Normal University
12792	哈尔滨信息工程学院	Harbin Institute of Information Technology
2903	哈尔滨学院	Harbin University
6720	海南大学	Hainan University
9285	海南热带海洋学院	Hainan Tropical Ocean University
11411	海南师范大学	Hainan Normal University
6731	韩山师范学院	Hanshan Normal University
25794	汉江师范学院	Hanjiang Normal University
25299	汉口学院	Hankou University
2956	杭州电子科技大学	Hangzhou Dianzi University
3491	杭州师范大学	Hangzhou Normal University
3145	合肥大学	Hefei University
646	合肥工业大学	Hefei University of Technology
7331	合肥工业大学宣城校区	Hefei University of Technology Xuancheng Campus‌
